Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2191941,233317,LİMİTED,KEMALPAŞA,BORNOVA,73,MADENCİLİK VE MERMER GRUBU,1800 BEKEN KATI YAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,KEMALPAŞA MAHALLESİ 7416/3 SOKAK NO:4 BORNOVA / İZMİR
1770101,190795,ANONİM,ALAYBEY,KARŞIYAKA,73,MADENCİLİK VE MERMER GRUBU,2023 MADEN İNŞAAT TİCARET ANONİM ŞİRKETİ,ALAYBEY MAHALLESİ 1671 SK. GİRİTLİGİL APT. NO: 55/1 KARŞIYAKA/İZMİR
2184751,232588,LİMİTED,ALTINTEPE,MENDERES,73,MADENCİLİK VE MERMER GRUBU,2M KÖMÜR VE ORMAN ÜRÜNLERİ İTHALAT İHRACAT PAZARLAMA TİCARET LİMİTED ŞİRKETİ,ALTINTEPE MAH. ARMUTLUK 3 SK. NO: 12 MENDERES / İZMİR
1992121,213183,LİMİTED,LİMANREİS,NARLIDERE,73,MADENCİLİK VE MERMER GRUBU,3B PAK MADENCİLİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,LİMANREİS MAH. TÜRKER SK. NO: 32/1 NARLIDERE / İZMİR
1798521,193667,ANONİM,İSKELE,URLA,73,MADENCİLİK VE MERMER GRUBU,3P1N MÜHENDİSLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,İSKELE MAH. 2012 SK. NO: 19 URLA / İZMİR
2187951,232905,ANONİM,ADALET,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,5K DOĞAL KAYNAKLAR VE MADENCİLİK SANAYİ TİCARET ANONİM ŞİRKETİ ,ADALET MAH. MAHALLESİ MANAS BLV NO:47/B FOLKART TOWERS BLOK İÇ KAPI NO: 4201 BAYRAKLI / İZMİR
2305079,255025,ANONİM,ÇINARLI,KONAK,73,MADENCİLİK VE MERMER GRUBU,ACS TERRAZZO AND MARBLE MADENCİLİK İTHALAT VE İHRACAT ANONİM ŞİRKETİ,ÇINARLI MAH. ANKARA ASFALTI CAD. NO: 15 İÇ KAPI NO: 391 KONAK / İZMİR
1408291,153712,LİMİTED,FATİH,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,AÇI ALÜMİNYUM PROFİL PVC PLASTİK OTO KİRALAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,FATİH MAH. 1178 SK. NO: 9 GAZİEMİR / İZMİR
2174391,231529,LİMİTED,MERSİNLİ,KONAK,73,MADENCİLİK VE MERMER GRUBU,ADEM ÖZGÜN METAL VE METAL ÜRÜNLERİ OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİNLİ MAHALLESİ 2838 SOKAK NO: 7 İÇ KAPI NO: Z1 KONAK / İZMİR
2297276,247196,LİMİTED,ADALET,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,ADES İÇ VE DIŞ TİCARET SANAYİ LİMİTED ŞİRKETİ,ADALET MAH. ANADOLU CAD. MEGAPOL TOWER NO: 41 İÇ KAPI NO: 081 BAYRAKLI / İZMİR
2001201,214108,ANONİM,KÜLTÜR,KONAK,73,MADENCİLİK VE MERMER GRUBU,AEG MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,KÜLTÜR MAHALLESİ MUSTAFA MÜNİR BİRSEL SK. KORULUK APARTMAN A BLOK APT. NO: 26/3 KONAK/İZMİR
1983891,212385,ANONİM,MANSUROĞLU,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,AEGEAN ORE MADENCİLİK ANONİM ŞİRKETİ ,MANSUROĞLU MAHALLESİ 286/3 SOK. NO: 14 B/0 BAYRAKLI / İZMİR
1271391,140423,ANONİM,POSTACILAR,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,AFROMİN MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,POSTACILAR MAH. 7600 SK. NO: 43A BAYRAKLI / İZMİR
1874611,201368,LİMİTED,ALTINTAŞ,URLA,73,MADENCİLİK VE MERMER GRUBU,AFYONKARDEŞLER MERMER SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ALTINTAŞ MAHALLESİ AHMET BESİM UYAL CADDESİ NO:25 URLA / İZMİR
2294296,244194,LİMİTED,ALSANCAK,KONAK,73,MADENCİLİK VE MERMER GRUBU,AGA METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ALSANCAK MAH. 1472 SK. BATI NO: 30 İÇ KAPI NO: 6 KONAK / İZMİR
2221511,236283,LİMİTED,FATİH,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,AGROVIYA İTHALAT İHRACAT MADENCİLİK SANAYİ TİCARET LİMİTED ŞİRKETİ,FATİH MAH. 1204 SK. NO: 4 GAZİEMİR / İZMİR
1451771,157819,LİMİTED,DOĞANLAR,BORNOVA,73,MADENCİLİK VE MERMER GRUBU,AĞIRMAT METAL TURİZM GIDA TARIM HAYVANCILIK SANAYİ VE TİCARET LİMİTED  ŞİRKETİ,DOĞANLAR MAHALLESİ 1534 SOKAK NO: 5 BORNOVA / İZMİR
1777751,191553,ANONİM,TUNA,BORNOVA,73,MADENCİLİK VE MERMER GRUBU,AKALSAN YAPI ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ,TUNA MAH. 5617 SK. NO: 4 BORNOVA / İZMİR
2297367,247281,ANONİM,YAŞAR KEMAL,KARABAĞLAR,73,MADENCİLİK VE MERMER GRUBU,AKÇAKAYA MERMER MADENCİLİĞİ ANONİM ŞİRKETİ,YAŞAR KEMAL MAH. 6002 SK. TOKİ UZUNDERE KONUTLARI SİTESİ NO: 3 İÇ KAPI NO: 50 KARABAĞLAR / İZMİR
468381,66157,LİMİTED,AYDIN,KARABAĞLAR,73,MADENCİLİK VE MERMER GRUBU,AKDENİZ PANJUR SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,AYDIN MAHALLESİ 4306 SOK. NO: 17 A/- KARABAĞLAR / İZMİR
200481,95203,ANONİM,KÜLTÜR,KONAK,73,MADENCİLİK VE MERMER GRUBU,AK-EGE MADENCİLİK NAKLİYAT TURİZM İNŞAAT TAAHHÜT VE YAPI MALZEMELERİ SANAYİ TİCARET ANONİM ŞİRKETİ,KÜLTÜR MAHALLESİ MUSTAFA MÜNİR BİRSEL SOKAK NO:4/1/201 KONAK/İZMİR
1927181,206651,LİMİTED,ILICA,NARLIDERE,73,MADENCİLİK VE MERMER GRUBU,AKHAN GRUP MADEN İNŞAAT SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ ,ILICA MAHALLESİ ŞEHİT KEREM OĞUZ ERBAY SOKAK C BLOK Apt. NO: 6 C NARLIDERE / İZMİR
2161681,230244,LİMİTED,ULUCAK CUMHURİYET MH,KEMALPAŞA,73,MADENCİLİK VE MERMER GRUBU,AKİZ METAL ELEKTRİK ELEKTRONİK HIRDAVAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ULUCAK CUMHURİYET MH MAHALLESİ 107 SOKAK NO:11/B FATMA ZEHRA BLOK İÇ KAPI NO: 1 KEMALPAŞA / İZMİR
1601331,174000,LİMİTED,BAHRİYE ÜÇOK,KARŞIYAKA,73,MADENCİLİK VE MERMER GRUBU,AKO METAL DEMİR ÇELİK MAKİNA TEDARİK HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,BAHRİYE ÜÇOK MAH. 1762 SK. NO: 9 İÇ KAPI NO: 1 KARŞIYAKA / İZMİR
1238281,136901,LİMİTED,ATAŞEHİR,ÇİĞLİ,73,MADENCİLİK VE MERMER GRUBU,AKODEM DEMİR VE METAL ÜRÜNLERİ İNŞAAT NAKLİYAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ATAŞEHİR MAHALLESİ NO:29/A 8212 SK. ÇİĞLİ / İZMİR
2212611,235384,ANONİM,HÜRRİYET,MENDERES,73,MADENCİLİK VE MERMER GRUBU,AKSEKİ YAPI ANONİM ŞİRKETİ MENDERES 2 ŞUBESİ,HÜRRİYET MAH. UĞUR MUMCU BUL. NO: 9 İÇ KAPI NO: 1 MENDERES / İZMİR
2294376,244263,ANONİM,YENİKALE,NARLIDERE,73,MADENCİLİK VE MERMER GRUBU,ALACAKAYA MERMER VE MADEN İŞLETMESİ TİCARET VE SANAYİ ANONİM ŞİRKETİ İZMİR ŞUBESİ,YENİKALE MAH. MİTHATPAŞA CAD. NO: 146B NARLIDERE / İZMİR
1163591,129256,LİMİTED,NERGİZ,KARŞIYAKA,73,MADENCİLİK VE MERMER GRUBU,ALATTİN KAHRAMAN MADENCİLİK ORMAN ÜRÜNLERİ İNŞAAT TAŞIMACILIK SANAYİ TİCARET LİMİTED ŞİRKETİ,NERGİZ MAHALLESİ ALİ ALP BÖKE CADDESİ NO: 50 A KARŞIYAKA / İZMİR
1966991,210671,LİMİTED,KÜÇÜK ÇİĞLİ,ÇİĞLİ,73,MADENCİLİK VE MERMER GRUBU,ALMAR METAL ALÜMİNYUM SANAYİ TİCARET LİMİTED ŞİRKETİ,KÜÇÜK ÇİĞLİ MAHALLESİ 8780/2 SK. NO: 27 ÇİĞLİ/İZMİR
1921241,206058,LİMİTED,KASIMPAŞA,MENDERES,73,MADENCİLİK VE MERMER GRUBU,ALMİN MERMER SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,KASIMPAŞA MAHALLESİ ATATÜRK CAD. NO:99/10 MENDERES / İZMİR
1740591,187821,ANONİM,ILICA,NARLIDERE,73,MADENCİLİK VE MERMER GRUBU,ALMUR METALURJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ILICA MAHALLESİ ERDAL İNÖNÜ CAD. NO: 9/9 NARLIDERE/İZMİR
1043701,116407,LİMİTED,KARACAOĞLAN,NO:8/Z-11,73,MADENCİLİK VE MERMER GRUBU,ALON METAL MAKİNA METALURJİ OTOMOTİV YEDEK PARÇA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KARACAOĞLAN MAHALLESİ 6169 SK. NO:8/Z-11 / İZMİR
2024521,216467,LİMİTED,KARACAOĞLAN,BORNOVA,73,MADENCİLİK VE MERMER GRUBU,ALPERAX ALÜMİNYUM VE AKSESUAR SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,KARACAOĞLAN MAHALLESİ 6170/2 NO:2 BORNOVA / İZMİR
1260831,139434,LİMİTED,FATİH,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,ALS LABORATUAR HİZMETLERİ LİMİTED ŞİRKETİ ,FATİH MAHALLESİ EGE CADDESI NO:7/B SARNIÇ GAZİEMİR / İZMİR
1293001,142476,LİMİTED,HACI MAHMUT,KONAK,73,MADENCİLİK VE MERMER GRUBU,ALT MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,HACI MAHMUT MAHALLESİ 848 SOK. NO:45/306 KONAK / İZMİR
2300055,249980,LİMİTED,AOSB,ÇİĞLİ,73,MADENCİLİK VE MERMER GRUBU,ALUCENTER ALÜMİNYUM CAM BALKON SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AOSB MAH. M. KEMAL ATATÜRK BUL. NO: 36 ÇİĞLİ / İZMİR
1697221,183607,ANONİM,FATİH,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,ALUMİL EGE ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ ,FATİH MAHALLESİ 1188 SOKAK NO:13/B GAZİEMİR / İZMİR
2111421,225212,LİMİTED,9 EYLÜL,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,ALÜMİNA AKSESUAR PVC ALÜMİNYUM PROFİL SANAYİ VE TİCARET LİMİTED  ŞİRKETİ,9 EYLÜL MAHALLESİ 695 SOKAK NO:7/H GAZİEMİR / İZMİR
2150061,229082,LİMİTED,MERSİNLİ,KONAK,73,MADENCİLİK VE MERMER GRUBU,AMADE METAL İNŞAAT GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,MERSİNLİ MAHALLESİ 2825 SOK. NO:5/A KONAK / İZMİR
1920501,205968,LİMİTED,AKDENİZ,KONAK,73,MADENCİLİK VE MERMER GRUBU,ANCHOR MADEN VE MİNERAL SANAYİ TİCARET LİMİTED ŞİRKETİ,AKDENİZ MAHALLESİ ŞEHİT FETHİBEY CAD. NO: 55/091 KONAK/İZMİR
2218391,235966,ANONİM,TURGUT REİS,KONAK,73,MADENCİLİK VE MERMER GRUBU,ARAS ARSLAN MADEN İNŞAAT ANONİM ŞİRKETİ ,TURGUT REİS MAHALLESİ MİTHATPAŞA CADDESİ ATA BLOK NO: 372 İÇ KAPI NO: 5 KONAK / İZMİR
2304784,254728,ANONİM,FATİH,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,ARBEY ALÜMİNYUM İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,FATİH MAH. EGE CAD. NO: 24 GAZİEMİR / İZMİR
1682631,182134,LİMİTED,YUNUS EMRE,BORNOVA,73,MADENCİLİK VE MERMER GRUBU,AREL ALÜMİNYUM PASLANMAZ VE İNŞAAT MALZEMELERİ TURİZM İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YUNUS EMRE MAH. 7521/1 SK. NO: 30D BORNOVA / İZMİR
1686251,182511,LİMİTED,OĞLANANASI ATATÜRK,MENDERES,73,MADENCİLİK VE MERMER GRUBU,AREL MERMER GRANİT İNŞAAT TİCARET LİMİTED ŞİRKETİ ,OĞLANANASI ATATÜRK MAHALLESİ 3 CAD. NO: 154 MENDERES / İZMİR
2306589,256551,ANONİM,ADALET,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,ARİA BLACK STONE MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS NO: 39 İÇ KAPI NO: 2504 BAYRAKLI / İZMİR
1966051,210581,ANONİM,MANSUROĞLU,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,ARİA MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,MANSUROĞLU MAH. 286/3 SK. NO: 14B BAYRAKLI / İZMİR
2308005,257955,ANONİM,KASIMPAŞA,MENDERES,73,MADENCİLİK VE MERMER GRUBU,ARKEM TURİZM İNŞAAT GIDA TARIM MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ MENDERES ŞUBESİ,KASIMPAŞA MAH. ATATÜRK CAD. NO: 99 İÇ KAPI NO: 11 MENDERES / İZMİR
2133841,227452,ANONİM,ÇOLAK İBRAHİM BEY,SEFERİHİSAR,73,MADENCİLİK VE MERMER GRUBU,ARMONA YAPI ANONİM ŞİRKETİ,ÇOLAK İBRAHİM BEY MAH. İZMİR CAD. NO: 124/1B SEFERİHİSAR / İZMİR
1143381,127342,LİMİTED,ADALET,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,ARSEM METAL TAŞIMACILIK ELEKTRİK TEKSTİL TURİZM PEYZAJ İNŞAAT İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS NO: 47B İÇ KAPI NO: 3509 BAYRAKLI / İZMİR
1216641,134395,LİMİTED,KASIMPAŞA,MENDERES,73,MADENCİLİK VE MERMER GRUBU,ARSLANLAR TAAHHÜT İNŞAAT HAFRİYAT MADEN SANAYİ TİCARET LİMİTED ŞİRKETİ,KASIMPAŞA MAHALLESİ ATATÜRK CAD. NO: 99/11 MENDERES/İZMİR
2296521,246449,ANONİM,GAZİ,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,ARYOM MADEN VE MADENCİLİK TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,GAZİ MAH. 28/30 SK. NO: 18 İÇ KAPI NO: 1 GAZİEMİR / İZMİR
2095941,223659,LİMİTED,ÇANKAYA,KONAK,73,MADENCİLİK VE MERMER GRUBU,ASİA POLYMER DIŞ TİCARET LİMİTED ŞİRKETİ ,ÇANKAYA MAHALLESİ MİTHATPAŞA CADDESİ NO:798/1C KADIOĞLU BLOK KONAK / İZMİR
1943871,208332,ANONİM,MERSİNLİ,KONAK,73,MADENCİLİK VE MERMER GRUBU,ASKON MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ ,MERSİNLİ MAHALLESİ 2829 SOKAK NO: 25 İÇ KAPI NO: 201 KONAK / İZMİR
2246611,238814,LİMİTED,EMREZ,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,ASSTONE MERMER İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,EMREZ MAHALLESİ 120 SOKAK NO:54/A GAZİEMİR / İZMİR
2303561,253516,LİMİTED,ADALET,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,ATA YAKACAK ÜRÜNLERİ VE LOJİSTİK SANAYİ TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3408 BAYRAKLI / İZMİR
2137381,227805,LİMİTED,CUMHURİYET,KARŞIYAKA,73,MADENCİLİK VE MERMER GRUBU,ATAM ÇELİK DEMİR SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,CUMHURİYET MAHALLESİ ALİM DAĞHAN SK. NO: 1/1 İÇ KAPI NO: 4 KARŞIYAKA / İZMİR
2142621,228338,ANONİM,KEMALPAŞA OSB,KEMALPAŞA,73,MADENCİLİK VE MERMER GRUBU,ATTRA DOĞAL TAŞ ANONİM ŞİRKETİ,KEMALPAŞA OSB MAH. GÜNEY SANAYİ CAD. NO: 25 KEMALPAŞA / İZMİR
636111,78975,ANONİM,AKDENİZ,KONAK,73,MADENCİLİK VE MERMER GRUBU,AVDAN MADENCİLİK ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,AKDENİZ MAHALLESİ ŞEHİT FETHİBEY CAD. HERİS TOWER APT. NO: 55/172 KONAK/İZMİR
2092561,223309,LİMİTED,ORG.NAFİZ GÜRMAN,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,AYAZ ENERJİ OTOMOTİV MADENCİLİK REKLAM İTHALAT VE İHRACAT TİCARET LİMİTED ŞİRKETİ,ORG.NAFİZ GÜRMAN MAH. ATATÜRK CAD. NO: 230B BAYRAKLI / İZMİR
811861,128596,LİMİTED,ETİLER,KONAK,73,MADENCİLİK VE MERMER GRUBU,AYAZOĞLU-AKTAŞ MERMER MADEN İNŞAAT TAAHHÜT AKARYAKIT NAKLİYAT GIDA TURİZM SANAYİ TİCARET LİMİTED ŞİRKETİ,ETİLER MAHALLESİ BOZKURT CADDESİ NO:29/21 KARAKURT İŞ MERKEZİ Apt. KONAK / İZMİR
2246451,238807,LİMİTED,ADALET,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,AYC DEMİR ÇELİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ADALET MAHALLESİ ŞEHİT POLİS FETİH SEKİN CAD. NO: 6 İÇ KAPI NO: 285 BAYRAKLI / İZMİR
1404391,153354,LİMİTED,ÇINARLI,KONAK,73,MADENCİLİK VE MERMER GRUBU,AYDIN LİNYİT PAZARLAMA LİMİTED ŞİRKETİ ,ÇINARLI MAH. ANKARA ASFALTI CAD. NO: 15 İÇ KAPI NO: 231 KONAK / İZMİR
501071,69025,LİMİTED,ADALET,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,AYDINLAR MADENCİLİK İNŞAAT TARIM ÜRÜNLERİ HAYVANCILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ADALET MAH. MANAS BUL. FOLKART TOWERS BLOK NO: 47B İÇ KAPI NO: 3403 BAYRAKLI / İZMİR
2304305,254249,ANONİM,ALAÇATI,ÇEŞME,73,MADENCİLİK VE MERMER GRUBU,AYDOĞDU BİMS MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ALAÇATI MAH. AKÇAKAYA MEVKİİ KÜME EVLERİ DÜRBÜN NO: 1 ÇEŞME / İZMİR
2307668,257632,LİMİTED,KEMALPAŞA OSB,KEMALPAŞA,73,MADENCİLİK VE MERMER GRUBU,AZURE MAKİNE ENERJİ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ İZMİR ŞUBESİ,KEMALPAŞA OSB MAH. İZMİR CAD. NO: 85/1 KEMALPAŞA / İZMİR
2188231,232933,ANONİM,İNÖNÜ,BORNOVA,73,MADENCİLİK VE MERMER GRUBU,BA TIN MADENCİLİK ANONİM ŞİRKETİ,İNÖNÜ MAH. 741/1 SK. NO: 7 İÇ KAPI NO: 4 BORNOVA / İZMİR
2063581,220389,ANONİM,ALSANCAK,KONAK,73,MADENCİLİK VE MERMER GRUBU,BABELCE DIŞ TİCARET ANONİM ŞİRKETİ,ALSANCAK MAHALLESİ 1456 SK. BAROHAN APT. NO: 16/25 KONAK/İZMİR
2199951,234119,ANONİM,AKDENİZ,KONAK,73,MADENCİLİK VE MERMER GRUBU,BAKIRÇAY ENERJİ MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ İZMİR ŞUBESİ,AKDENİZ MAHALLESİ ŞEHİT FETHİBEY CADDESİ HERİS TOWER BLOK NO: 55 İÇ KAPI NO: 171 KONAK / İZMİR
1963941,210374,LİMİTED,ÇINARLI,KONAK,73,MADENCİLİK VE MERMER GRUBU,BALCI DEMİR ÇELİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ÇINARLI MAHALLESİ ANKARA ASFALTI CADDESİ NO:15/421 KONAK / İZMİR
664441,80938,LİMİTED,KEMALPAŞA,BORNOVA,73,MADENCİLİK VE MERMER GRUBU,BAŞAK KURU ÇİÇEKÇİLİK TARIM ÜRÜNLERİ TOPRAK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KEMALPAŞA MAHALLESİ 7073 SOKAK NO:11 PINARBAŞI BORNOVA / İZMİR
1256881,138861,LİMİTED,SEYHAN,AKINCILAR,73,MADENCİLİK VE MERMER GRUBU,BAŞEĞMEZ MERMER METAL NAKLİYE İNŞAAT TEKSTİL MOBİLYA TURİZM GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SEYHAN MAHALLESİ AKINCILAR / İZMİR
1502331,162840,LİMİTED,KÖYİÇİ,ÇİĞLİ,73,MADENCİLİK VE MERMER GRUBU,BAYINDIR MAKİNA MADENCİLİK İNŞAAT OTOMOTİV TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KÖYİÇİ MAHALLESİ KÖYİÇİ CAD. NO: 80 A ÇİĞLİ/İZMİR
1763751,190143,ANONİM,GERMİYAN,ÇEŞME,73,MADENCİLİK VE MERMER GRUBU,BEF MADENCİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,GERMİYAN MAHALLESİ OCAK KÜME EVLERİ NO: 22/_ ÇEŞME/İZMİR
431791,2236,ANONİM,KAVAKLIDERE,BORNOVA,73,MADENCİLİK VE MERMER GRUBU,BEMAŞ BETON MAMÜLLERİ VE İNŞAAT MALZEMELERİ ANONİM ŞİRKETİ,KAVAKLIDERE MAH. 9501 SK. NO: 22 BORNOVA / İZMİR
2138841,227952,ANONİM,İÇMELER,URLA,73,MADENCİLİK VE MERMER GRUBU,BEMAŞ BETON MAMÜLLERİ VE İNŞAAT MALZEMELERİ ANONİM ŞİRKETİ URLA  İÇMELER ŞUBESİ,İÇMELER MAHALLESİ 1190 SK. NO:4/1 URLA / İZMİR
531131,242,ANONİM,İÇMELER,URLA,73,MADENCİLİK VE MERMER GRUBU,BEMAŞ BETON MAMÜLLERİ VE İNŞAAT MALZEMELERİ ANONİM ŞİRKETİ URLA ŞUBESİ,İÇMELER MAHALLESİ 1190 SK. NO:4 URLA / İZMİR
1919071,205839,LİMİTED,MEHMET AKİF ERSOY,KEMALPAŞA,73,MADENCİLİK VE MERMER GRUBU,BESTFEED GIDA TARIM HAYVANCILIK İLAÇ KİMYA SANAYİ TİCARET LİMİTED ŞİRKETİ,MEHMET AKİF ERSOY MAH. 502 SK. NO: 5 İÇ KAPI NO: 3 KEMALPAŞA / İZMİR
2150531,229126,ANONİM,KÜLTÜR,KONAK,73,MADENCİLİK VE MERMER GRUBU,BEYDERE TEKNOLOJİ MADENCİLİK DANIŞMANLIK MÜHENDİSLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,KÜLTÜR MAH. ATATÜRK CAD. SELVİLİ BLOK NO: 228 İÇ KAPI NO: 5 KONAK / İZMİR
2303696,253632,ANONİM,GAZİ,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,BHC DEMİR ÇELİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,GAZİ MAH. 28/30 SK. NO: 11 İÇ KAPI NO: 1 GAZİEMİR / İZMİR
1356441,148663,ANONİM,SASALI MERKEZ,ÇİĞLİ,73,MADENCİLİK VE MERMER GRUBU,BİNBİR GIDA TARIM ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ - ÇAMALTI TUZ İŞLETMESİ ŞUBESİ,SASALI MERKEZ MAHALLESİ AHMET PİRİŞTİNA CD. NO:11 ÇİĞLİ / İZMİR
2069051,220937,ANONİM,SAHİLEVLERİ,NARLIDERE,73,MADENCİLİK VE MERMER GRUBU,BLT MERMER İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,SAHİLEVLERİ MAH. KALE SK. NO: 79 İÇ KAPI NO: 1 NARLIDERE / İZMİR
2304560,254506,ANONİM,MANSUROĞLU,BAYRAKLI,73,MADENCİLİK VE MERMER GRUBU,BOYLU MADENCİLİK İNŞAAT LOJİSTİK TİCARET ANONİM ŞİRKETİ,MANSUROĞLU MAH. 286/3 SK. NO: 14B BAYRAKLI / İZMİR
1406201,142269,ANONİM,ATIFBEY,GAZİEMİR,73,MADENCİLİK VE MERMER GRUBU,BOZDAĞ ZİRAİ İLAÇ MADEN SANAYİ VE TİCARET ANONİM ŞİRKETİ,ATIFBEY MAH. 5 SK. NO: 31 İÇ KAPI NO: 101 GAZİEMİR / İZMİR
